[2024.09.07-04.11.33:722][164]Log file open, 09/07/24 06:11:33
[2024.09.07-04.17.41:120][914]Failed Spawned Dino: Aberrant Manta - Lvl 125 (Location -53737.456136, -120925.388168, 36577.641311)
[2024.09.07-04.17.41:402][918]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -143885.203822, -111125.659364, 36716.537927)
[2024.09.07-04.17.47:610][  0]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location -118899.991062, -134281.974856, 36771.538516)
[2024.09.07-04.17.53:085][ 73]Failed Spawned Dino: Aberrant Manta - Lvl 130 (Location -24091.412127, -103365.353418, 36730.250343)
[2024.09.07-04.17.53:328][ 76]Failed Spawned Dino: Aberrant Manta - Lvl 125 (Location -99892.564651, -123441.500766, 36555.111864)
[2024.09.07-04.18.05:491][224]Failed Spawned Dino: Aberrant Cnidaria (Location -201951.515116, -742.993905, 34066.331532)
[2024.09.07-04.18.11:668][307]Failed Spawned Dino: Aberrant Manta - Lvl 5 (Location -1704.101276, -185666.304920, 36752.304667)
[2024.09.07-04.18.17:166][377]Failed Spawned Dino: Aberrant Cnidaria (Location -195495.683374, 164.117157, 33944.740959)
[2024.09.07-04.18.23:951][466]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -95782.206674, -116333.640272, 36646.387011)
[2024.09.07-04.18.29:529][544]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -25628.152203, -174099.710475, 36913.720226)
[2024.09.07-04.18.29:661][546]Failed Spawned Dino: Aberrant Manta - Lvl 130 (Location -32523.817643, -105312.630166, 36759.355735)
[2024.09.07-04.18.30:109][552]Failed Spawned Dino: Aberrant Manta - Lvl 50 (Location -136249.629739, -119083.256036, 36637.562691)
[2024.09.07-04.18.35:889][629]Failed Spawned Dino: Aberrant Manta - Lvl 25 (Location -62580.251348, -112747.228483, 36952.133752)
[2024.09.07-04.18.36:132][632]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -126152.876499, -126232.683563, 36807.376747)
[2024.09.07-04.18.47:379][783]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -29578.741429, -101305.220194, 36931.613465)
[2024.09.07-04.18.47:615][786]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -102959.990046, -128656.192274, 36937.898038)
[2024.09.07-04.18.59:795][932]Failed Spawned Dino: Aberrant Cnidaria (Location -205027.702767, 372.619518, 33990.123065)
[2024.09.07-04.19.00:366][938]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -4406.129912, -183493.888353, 36938.027345)
[2024.09.07-04.19.09:617][ 25]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location -89345.208666, -109733.617790, 36661.417320)
[2024.09.07-04.19.17:559][102]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -25121.692413, -172599.884891, 36861.317549)
[2024.09.07-04.19.17:754][104]Failed Spawned Dino: Aberrant Manta - Lvl 150 (Location -44646.997654, -120904.663447, 36939.478274)
[2024.09.07-04.19.18:355][110]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location -142769.900221, -112593.762634, 36953.505759)
[2024.09.07-04.19.26:400][188]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -60939.376409, -119673.881895, 36591.239567)
[2024.09.07-04.19.26:714][191]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location -123297.954593, -127175.898216, 36947.200133)
[2024.09.07-04.19.33:522][267]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -24344.869757, -99990.370255, 36713.022152)
[2024.09.07-04.19.33:836][270]Failed Spawned Dino: Aberrant Manta - Lvl 130 (Location -105547.348507, -128978.858158, 36625.780063)
[2024.09.07-04.19.55:112][506]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -95814.059402, -114959.709294, 36680.527170)
[2024.09.07-04.20.01:892][584]Failed Spawned Dino: Aberrant Manta - Lvl 35 (Location -42169.747539, -159341.895261, 36641.948399)
[2024.09.07-04.20.08:850][664]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -19859.608224, -175610.935086, 36856.754411)
[2024.09.07-04.20.09:084][667]Failed Spawned Dino: Aberrant Manta - Lvl 25 (Location -39279.344260, -115030.266391, 36932.315568)
[2024.09.07-04.20.09:577][673]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -140844.625421, -118589.097019, 36946.326062)
[2024.09.07-04.20.16:425][749]Failed Spawned Dino: Aberrant Manta - Lvl 115 (Location -54109.224151, -121173.706511, 36586.316827)
[2024.09.07-04.20.16:679][752]Failed Spawned Dino: Aberrant Manta - Lvl 125 (Location -124492.890013, -130263.772654, 36681.808835)
[2024.09.07-04.20.23:770][833]Failed Spawned Dino: Aberrant Manta - Lvl 125 (Location -21935.432343, -98371.347498, 36708.389381)
[2024.09.07-04.20.30:734][917]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -105373.523140, -126804.459067, 36608.364809)
[2024.09.07-04.20.43:059][ 71]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -77.787622, -182513.996045, 36842.766937)
[2024.09.07-04.20.43:595][ 78]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -91965.784934, -113637.325866, 36677.557759)
[2024.09.07-04.20.49:098][154]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -45261.290215, -155382.179925, 36915.872100)
[2024.09.07-04.20.54:512][236]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -42781.788099, -112531.715008, 36809.403968)
[2024.09.07-04.21.00:071][315]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -22206.249791, -173803.809629, 36917.920558)
[2024.09.07-04.21.07:083][405]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -54541.511549, -122530.289924, 36607.470525)
[2024.09.07-04.21.07:272][408]Failed Spawned Dino: Aberrant Manta - Lvl 115 (Location -122727.334321, -131365.098406, 36779.892197)
[2024.09.07-04.21.07:343][409]Failed Spawned Dino: Aberrant Manta - Lvl 120 (Location -132617.499859, -121849.952450, 36691.491212)
[2024.09.07-04.21.13:549][486]Failed Spawned Dino: Aberrant Manta - Lvl 5 (Location -23758.322678, -101769.962065, 36701.757560)
[2024.09.07-04.21.19:384][569]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location -99936.248950, -123078.687327, 36581.231280)
[2024.09.07-04.21.29:255][708]Failed Spawned Dino: Aberrant Salmon | 0.5x (Location 11773.125222, -61824.221225, 17016.807390)
[2024.09.07-04.21.29:270][708]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 11775.229549, -61924.199082, 17031.861130)
[2024.09.07-04.21.31:057][733]Failed Spawned Dino: Aberrant Manta - Lvl 105 (Location -92724.336831, -117858.743032, 36701.732291)
[2024.09.07-04.21.36:087][810]Failed Spawned Dino: Aberrant Manta - Lvl 20 (Location -42142.900101, -158847.736728, 36686.336935)
[2024.09.07-04.21.47:345][971]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -27126.599031, -173701.210643, 36942.812289)
[2024.09.07-04.21.47:588][974]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -46178.207707, -120320.792332, 36652.990319)
[2024.09.07-04.21.54:144][ 62]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -117125.335289, -133855.719694, 36736.004381)
[2024.09.07-04.21.54:216][ 63]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -134928.648488, -121440.053107, 36727.271089)
[2024.09.07-04.21.59:594][141]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -21675.604345, -93862.685338, 36649.657918)
[2024.09.07-04.21.59:676][142]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -61039.940325, -115995.692174, 36596.949604)
[2024.09.07-04.22.05:848][225]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -104863.878611, -126745.477054, 36656.241281)
[2024.09.07-04.22.17:176][377]Failed Spawned Dino: Aberrant Manta - Lvl 5 (Location -12074.466331, -180141.833931, 36876.937287)
[2024.09.07-04.22.17:710][384]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -92753.459401, -116431.778095, 36665.010111)
[2024.09.07-04.22.23:305][458]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -43225.440477, -158508.218910, 36856.909021)
[2024.09.07-04.22.35:371][608]Failed Spawned Dino: Aberrant Cnidaria (Location -205047.975850, 1000.768485, 33985.118072)
[2024.09.07-04.22.36:093][616]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -30034.305762, -169747.938509, 36825.245256)
[2024.09.07-04.22.36:343][619]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -37566.573394, -109076.566454, 36794.591046)
